"Part";"Value";"Device";"Package";"Description";"ADC-RESOLUTION";"ALIASES";"BRAND";"CABLE_ASSEMBLY_31564";"CABLE_ASSEMBLY_31565";"CASE";"CERAMIC";"COLOR";"CONTACT-MATERIAL";"CONTACT_GENDER";"CONTACT_MATERIAL";"CONTACT_PLATING";"CONTACT_RESISTANCE";"CRIMP_SOCKET_FEMALE_32-28AWG_50058-8100";"CRIMP_SOCKET_FEMALE__28-26AWG_50079-8100";"CURRENT-RATING";"DATA-RAM-TYPE";"DATA-RATE";"DESIGN";"DIGI-KEY";"DISTRELEC";"DRIVE-LEVEL";"EFFICIENCY";"ESR";"FARNELL";"FLAMABILITY_RATING";"FREQUENCY";"FREQUENCY-STABILITY";"FREQUENCY_BAND";"HOUSING-MATERIAL";"IF";"IMPEDANCE";"INPUT-VOLTAGE";"INSOLATION-VOLTAGE";"INSULATION-RESISTANCE";"INTERFACE-TYPE";"INTERFACE_TYPE";"IR-REVERSE";"LOAD_CAPACITANCE";"LUMINOUS-INTENSITY";"MANUFACOR";"MANUFACTOR";"MANUFACTURER";"MATING-POST-LENGHT";"MAX-CLOCK-FREQUENCY";"MAXIMUM_DC_CURRENT";"MAX_DC_RESISTANCE";"MFR-NO";"MFR_NO";"MOUNTING-ANGLE";"MOUNTING_ANGLE";"MOUNTING_STYLE";"MOUSER";"MPN";"NUMBER-OF-ADC-CHANNELS";"NUMBER-OF-CHANNELS";"NUMBER-OF-IOS";"NUMBER-OF-OUT";"NUMBER-OF-TIMERS-COUNTERS";"NUMBER_CONTACT";"NUMBER_OF_POSITION";"NUMBER_OF_ROW";"NUMBER_PORT";"OPERATING-FORCE";"OPERATING-SUPPLY-VOLTAGE";"OPERATING-TEMPERATURE";"OPERATING-TEMPERATURE-RANG";"OPERATING-TEMPERATURE-RANGE";"OPERATING-VOLTAGE";"OPERATING_SUPPLY_VOLTAGE";"OPERATING_TEMPERATURE";"OPERATING_TEMPERATURE_RANGE";"OPERATIN_TEMPERATURE";"ORIENTATION";"OUT";"OUT-CURRENT";"OUT-TYPE";"PACKAGE";"PITCH";"POLE-NO";"POLE_NO";"POWER";"POWER-RATING";"PRICE";"PRODUCT";"PRODUCT-TYPE";"PRODUCTS";"PRODUCT_CATEGORY";"PRODUCT_TYPE";"QUALIFICATION";"RATED-CURRENT";"RATED-VOLTAGE";"RATED_CURRENT";"RATED_VOLTAGE";"RISE-TIME";"SERIES";"SHELL-PLATING";"SOCKET_51021-0200";"SOCKET_51021-0600";"SPECIFICATIONS";"SPEED";"STANDARD";"SUPPLIER";"SUPPLY-SUPPLY-CURRENT";"SUPPLY_VOLTAGE";"SWITCH-FONCTION";"TEMPERATURE_COEFFICIENT";"TERMINATION-POST-LENGHT";"TERMINATION_STYLE";"TOLERANCE";"TYPE";"U-NOM";"U_NOM";"VF";"VIEWING-ANGLE";"VOLTAGE";"VOLTAGE-RATING";"VR";"VZ_ZENER_VOLTAGE";"WAVELENGTH";"ZENER_IMPEDANCE";
"C22";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"C23";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C24";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C25";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"C26";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"D1";"ZEN056V115A24LS";"ZEN056V115A24LS";"1616_LS";"Polizen, Polymer Enhanced Zener Diode, 5,6V, PPTC/Zener SMD, Littelfuse, Mouser : 650-ZEN056V115A24LS";"";"";"";"";"";"1616 (4040 metric)";"";"";"";"";"";"";"";"";"";"";"";"";"";"ZEN056V115A24LSCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mA";"";"";"";"";"Littelfuse";"";"";"";"";"";"";"";"";"";"650-ZEN056V115A24LS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40 to +85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.6V";"";"180 mOhms";
"H1";"HOLES_2_7_NP";"HOLES_2_7_NP";"2_7_NP";"Hole D = 2,7mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"HOLES_2_7_NP";"HOLES_2_7_NP";"2_7_NP";"Hole D = 2,7mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H3";"HOLES_2_7_NP";"HOLES_2_7_NP";"2_7_NP";"Hole D = 2,7mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H4";"HOLES_2_7_NP";"HOLES_2_7_NP";"2_7_NP";"Hole D = 2,7mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"STM32F405RGT6";"STM32F405RGT6";"LQFP-64";"ARM Microcontrollers - MCU ARM M4 1024 FLASH 168 Mhz 192kB SRAM, STMicroelectronics, LQFP64, STM32F405RGT6, Mouser : 511-STM32F405RGT6";"12 bit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SRAM";"";"";"";"";"";"";"";"2064363";"";"";"";"";"";"";"";"";"";"";"CAN, I2C, I2S, SPI, UART";"";"";"";"";"";"";"";"";"168 MHz";"";"";"";"";"";"";"";"";"STM32F405RGT6";"16";"";"51 I/O";"";"10 Timer";"";"";"";"";"";"1.8 V to 3.6 V";"";"";"-40°C ~ 85°C (TA)";"";"";"";"";"";"";"";"";"";"LQFP-64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STMicroelectronics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"LMZM23601V3SILT";"LMZM23601V3SILT";"USIP-10";"Non-Isolated DC/DC Converters, IN 4...36V, UOT+3,3VDC / 1A, Step-Down DC-DC Power Module in 3.8-mm x 3-mm, Package 10-uSiP,Texas Instruments, Mouser : 595-LMZM23601V3SILT";"";"";"";"";"";"uSiP-10";"";"";"";"";"";"";"";"";"";"";"";"";"";"296-49461-1-ND";"";"";"81%";"";"";"";"";"";"";"";"";"";"4 V to 36 V";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"595-LMZM23601V3SILT";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"-40 °C ~ 125 °C";"";"";"";"";"";"";"+3,3VDC";"1A";"";"";"";"";"";"";"";"";"";"Non-Isolated DC-DC Converters";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"FT232RQ";"FT232RQ";"QFN32";"USB Interface IC USB to Serial UART, Mouser : 895-FT232RQ (case 32-QFN) & Mouser : 895-FT232RL (case 28-SSOP)";"";"";"";"";"";"32-QFN (5x5)";"";"";"";"";"";"";"";"";"";"";"";"12 Mb/s";"";"768-1008-1-ND";"";"";"";"";"1146033";"";"";"";"";"";"";"";"";"";"";"";"UART";"";"";"";"";"";"FTDI";"";"";"";"";"";"FT232RQ-REEL";"";"";"";"895-FT232RQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.8 V to 5.25 V";"-40°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB Bridge Controllers";"USB Interface IC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Full Speed";"USB 2.0";"";"25 mA";"";"";"";"";"";"";"Bridge, USB to UART";"";"";"";"";"";"";"";"";"";"";
"J1";"DX07S024XJ1R1100";"DX07S024XJ1R1100";"USB-TYPE_C_JAE";"USB connector HYBRID, SMD/THRU hole STD MNT, USB type C, Receptacle, female, 24 Contact, JAE Electronics, Mouser : 656-DX07S024SJ1R1100";"";"";"JAE Electronics";"";"";"";"";"";"Copper Alloy";"";"";"";"";"";"";"5A";"";"";"";"670-2848-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 MOhms";"";"";"";"";"";"";"";"JAE Electronics";"";"";"";"";"";"DX07S024XJ1R1100";"Right angle";"";"";"656-DX07S024SJ1R1100";"";"";"";"";"";"";"24";"";"";"1";"";"";"-30°C ~ 80°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB Type C Connectors";"";"";"";"";"";"";"";"";"";"";"";"Nickel";"";"";"  USB 3.1 (USB 3.1 Gen 2, Superspeed+)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20V";"";"";"";"";
"J2";"53398-0271_2P_V";"53398-0271_2P_V";"53398-02";"Pin header, PicoBlade 2-pin SMD, 53398-0271, Molex, single row straight, Distrelec : 143-54-189";"";"";"";"";"143-54-490";"";"";"";"";"";"Tin-plated phosphor bronze";"";"20mOhm";"Distrelec : 143-00-962";"Distrelec : 143-00-964";"";"";"";"Pin strip, single row straight, SMD";"";"143-54-189";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex";"";"";"";"";"";"";"";"";"";"538-53398-0271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,25mm";"2";"";"";"";"";"";"";"";"";"";"";"1A";"125VAC";"";"";"";"PicoBlade";"";"Distrelec : 143-54-361";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"M50-3530342";"M50-3530342";"M50-3530342";"Single row 1.27 mm, 3 pin's, Straight solder tail, Square pin diam. 0.4 mm, Mouser : 855-M50-3530342";"";"";"";"";"";"";"";"";"Brass";"Pin (Male)";"";"Gold";"";"";"";"1A";"";"";"";"952-3599-ND";"";"";"";"";"";"UL 94 V-0";"";"";"";"Polyamide (PA)";"";"";"";"";"1 GOhms";"";"";"";"";"";"";"";"Harwin";"3 mm";"";"";"";"";"M50-3530342";"";"Straight";"Straight Pin";"855-M50-3530342";"";"";"";"";"";"";"";"3";"1";"";"";"";"-40 °C ~ 105 °C";"";"";"";"";"";"";"";"";"";"";"";"";"1,27mm";"";"";"";"";"";"";"";"Headers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.3mm";"Through Hole";"";"Pin Strip";"";"";"";"";"";"";"";"";"";"";
"J4";"RECE-20449-001E-01";"RECE-20449-001E-01";"IPEX_MHF4";"RF Connectors / Coaxial Connectors Onboard Receptacle IPEX MHF4, straight, SMD, Jack, Mouser : 960-RECE20449-001E01";"";"RECE.20449.001E-01";"Taoglas";"";"";"";"";"";"";"";"Brass";"Gold";"";"";"";"";"";"";"";"931-1158-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"960-RECE20449-001E01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Straight";"";"";"";"";"";"";"";"";"";"";"PCB Receptacles";"";"";"";"RF Connectors / Coaxial Connectors";"";"";"";"";"";"";"RECE";"";"";"";"";"";"";"";"";"";"";"";"";"SMD/SMT";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"RECE-20449-001E-01";"RECE-20449-001E-01";"IPEX_MHF4";"RF Connectors / Coaxial Connectors Onboard Receptacle IPEX MHF4, straight, SMD, Jack, Mouser : 960-RECE20449-001E01";"";"RECE.20449.001E-01";"Taoglas";"";"";"";"";"";"";"";"Brass";"Gold";"";"";"";"";"";"";"";"931-1158-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"960-RECE20449-001E01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Straight";"";"";"";"";"";"";"";"";"";"";"PCB Receptacles";"";"";"";"RF Connectors / Coaxial Connectors";"";"";"";"";"";"";"RECE";"";"";"";"";"";"";"";"";"";"";"";"";"SMD/SMT";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"53261-0671_6P_H";"53261-0671_6P_H";"53261-06";"Pin header, PicoBlade 6-pin SMD, 53261-0671, Molex, single row 90°, Distrelec : 143-54-312";"";"";"";"Distrelec : 143-54-488";"";"";"";"";"";"";"Tin-plated phosphor bronze";"";"20mOhm";"Distrelec : 143-00-962";"Distrelec : 143-00-964";"";"";"";"Pin strip, single row 90° SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex";"";"";"";"";"";"";"";"";"";"538-53261-0671";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,25mm";"";"6";"";"";"";"";"";"";"";"";"";"";"";"1A";"125VAC";"";"PicoBlade";"";"";"Distrelec : 143-54-403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"53261-7010_10P_H";"53261-7010_10P_H";"53261-10";"Pin header, PicoBlade 6-pin SMD, 53261-0671, Molex, single row 90°, Distrelec : 143-54-312";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"";"";"";"";"";"";"";"";"538-53261-7010";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"MI0805K400R-10";"MI0805K400R-10";"F0805";"Ferrite Beads 40ohms, 100MHz, 1.5A, Monolithic, case 0805, Mouser : 875-MI0805K400R-10";"";"";"";"";"";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"240-2389-1-ND";"";"";"";"";"2292459";"";"";"";"";"";"";"40 Ohms";"";"";"";"";"";"";"";"";"";"";"Laird";"";"";"1.5 A";"50 mOhms";"";"MI0805K400R-10";"";"";"";"875-MI0805K400R-10";"";"";"";"";"";"";"";"";"";"";"";"";"-40°C ~ 125°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ferrite Beads";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Differential Mode Ferrite Chip Bead Power";"";"";"";"";"";"";"";"";"";"";
"L2";"MI0805K400R-10";"MI0805K400R-10";"F0805";"Ferrite Beads 40ohms, 100MHz, 1.5A, Monolithic, case 0805, Mouser : 875-MI0805K400R-10";"";"";"";"";"";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"240-2389-1-ND";"";"";"";"";"2292459";"";"";"";"";"";"";"40 Ohms";"";"";"";"";"";"";"";"";"";"";"Laird";"";"";"1.5 A";"50 mOhms";"";"MI0805K400R-10";"";"";"";"875-MI0805K400R-10";"";"";"";"";"";"";"";"";"";"";"";"";"-40°C ~ 125°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ferrite Beads";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Differential Mode Ferrite Chip Bead Power";"";"";"";"";"";"";"";"";"";"";
"LED1";"HSMQ-C190";"HSMQ-C190";"CHIP-LED-0603";"SMD LED Green, HSMQ-C190, Broadcom Limited, Package 0603, Light colour green, Mouser : 630-HSMQ-C190";"";"";"";"";"";"0603";"";"Green";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2917791";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"145 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMQ-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"520nm";"";
"LED2";"HSMR-C190";"HSMR-C190";"CHIP-LED-0603";"SMD LED blue, HSMR-C190, Broadcom Limited, Package 0603, Light colour blue, Mouser : 630-HSMR-C190";"";"";"";"";"";"0603";"";"Blue";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1652108";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"55 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMR-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"473nm";"";
"LED3";"HSMR-C190";"HSMR-C190";"CHIP-LED-0603";"SMD LED blue, HSMR-C190, Broadcom Limited, Package 0603, Light colour blue, Mouser : 630-HSMR-C190";"";"";"";"";"";"0603";"";"Blue";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1652108";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"55 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMR-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"473nm";"";
"OK1";"ACPL-M21L";"ACPL-M21L";"SO-5";"High Speed Optocouplers Optocoupler 5MBd, case SO-5, Avago, Mouser : 630-ACPL-M21L-500E";"";"";"";"";"";"SO-5";"";"";"";"";"";"";"";"";"";"";"";"5 Mbps";"";"";"";"";"";"";" 2213628";"";"";"";"";"";"2.2 mA";"";"";"3750 Vrms";"";"";"";"";"";"";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-ACPL-M21L-500E";"";"";"1";"";"";"";"";"";"";"";"";"";"-40°C ~ 105°C";"";"";"2.7 V to 5.5 V";"";"";"";"";"";"";"10mA";"Photo IC";"";"";"";"";"";"";"";"High Speed Optocouplers";"";"";"";"";"";"";"";"";"";"11ns";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.5 V";"";"";"";"5V";"";"";"";
"Q1";"CX5032GA08000H0PST02";"CX5032GA08000H0PST02";"CX5032GA";"SMD Crystals, 8MHz, 12pF, 50ppm, Kyocera, Mouser : 581-CX5032GA08H0PST";"";"";"";"";"";"5 mm x 3.2 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"1253-1691-1-ND";"";"500 uW";"";"200 Ohm";"";"";"8 MHz";"100 PPM";"";"";"";"";"";"";"";"";"";"";"12 pF";"";"";"";"Kyocera";"";"";"";"";"";"CX5032GA08000H0PST02";"";"";"";"581-CX5032GA08H0PST";"";"";"";"";"";"";"";"";"";"";"";"";"-40°C ~ 125°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AEC-Q200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 PPM";"SMD Crystal";"";"";"";"";"";"";"";"";"";"";
"R1";"2K";"2K";"R0603";"±Resistor SMD 2 kΩ 1 %, ERJ-3EKF2001V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF2001V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF2001V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF2001V";"";"";"";"";"75VDC";"";"";"";"";"";
"R2";"2K";"2K";"R0603";"±Resistor SMD 2 kΩ 1 %, ERJ-3EKF2001V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF2001V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF2001V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF2001V";"";"";"";"";"75VDC";"";"";"";"";"";
"R3";"5K1";"5K1";"R0603";"±Resistor SMD 5,1 kΩ, 1 %, 0,1W, ERJ-3EKF5101V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF5101V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-965";"";"";"";" 2059378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF5101V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF5101V";"";"";"";"";"75VDC";"";"";"";"";"";
"R4";"5K1";"5K1";"R0603";"±Resistor SMD 5,1 kΩ, 1 %, 0,1W, ERJ-3EKF5101V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF5101V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-965";"";"";"";" 2059378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF5101V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF5101V";"";"";"";"";"75VDC";"";"";"";"";"";
