"Part";"Value";"Device";"Package";"Description";"ADC-RESOLUTION";"ALIASES";"BRAND";"CABLE_ASSEMBLY_31564";"CABLE_ASSEMBLY_31565";"CASE";"CERAMIC";"COLOR";"CONTACT-MATERIAL";"CONTACT_GENDER";"CONTACT_MATERIAL";"CONTACT_PLATING";"CONTACT_RESISTANCE";"CRIMP_SOCKET_FEMALE_32-28AWG_50058-8100";"CRIMP_SOCKET_FEMALE__28-26AWG_50079-8100";"CURRENT-RATING";"DATA-RAM-TYPE";"DATA-RATE";"DESIGN";"DIGI-KEY";"DISTRELEC";"DRIVE-LEVEL";"EFFICIENCY";"ESR";"FARNELL";"FLAMABILITY_RATING";"FREQUENCY";"FREQUENCY-STABILITY";"FREQUENCY_BAND";"HOUSING-MATERIAL";"IF";"IMPEDANCE";"INPUT-VOLTAGE";"INSOLATION-VOLTAGE";"INSULATION-RESISTANCE";"INTERFACE-TYPE";"INTERFACE_TYPE";"IR-REVERSE";"LOAD_CAPACITANCE";"LUMINOUS-INTENSITY";"MANUFACOR";"MANUFACTOR";"MANUFACTURER";"MATING-POST-LENGHT";"MAX-CLOCK-FREQUENCY";"MAXIMUM_DC_CURRENT";"MAX_DC_RESISTANCE";"MFR-NO";"MFR_NO";"MOUNTING-ANGLE";"MOUNTING_ANGLE";"MOUNTING_STYLE";"MOUSER";"MPN";"NUMBER-OF-ADC-CHANNELS";"NUMBER-OF-CHANNELS";"NUMBER-OF-IOS";"NUMBER-OF-OUT";"NUMBER-OF-TIMERS-COUNTERS";"NUMBER_CONTACT";"NUMBER_OF_POSITION";"NUMBER_OF_ROW";"NUMBER_PORT";"OPERATING-FORCE";"OPERATING-SUPPLY-VOLTAGE";"OPERATING-TEMPERATURE";"OPERATING-TEMPERATURE-RANG";"OPERATING-TEMPERATURE-RANGE";"OPERATING-VOLTAGE";"OPERATING_SUPPLY_VOLTAGE";"OPERATING_TEMPERATURE";"OPERATING_TEMPERATURE_RANGE";"OPERATIN_TEMPERATURE";"ORIENTATION";"OUT";"OUT-CURRENT";"OUT-TYPE";"PACKAGE";"PITCH";"POLE-NO";"POLE_NO";"POWER";"POWER-RATING";"PRICE";"PRODUCT";"PRODUCT-TYPE";"PRODUCTS";"PRODUCT_CATEGORY";"PRODUCT_TYPE";"QUALIFICATION";"RATED-CURRENT";"RATED-VOLTAGE";"RATED_CURRENT";"RATED_VOLTAGE";"RISE-TIME";"SERIES";"SHELL-PLATING";"SOCKET_51021-0200";"SOCKET_51021-0600";"SPECIFICATIONS";"SPEED";"STANDARD";"SUPPLIER";"SUPPLY-SUPPLY-CURRENT";"SUPPLY_VOLTAGE";"SWITCH-FONCTION";"TEMPERATURE_COEFFICIENT";"TERMINATION-POST-LENGHT";"TERMINATION_STYLE";"TOLERANCE";"TYPE";"U-NOM";"U_NOM";"VF";"VIEWING-ANGLE";"VOLTAGE";"VOLTAGE-RATING";"VR";"VZ_ZENER_VOLTAGE";"WAVELENGTH";"ZENER_IMPEDANCE";
"C12";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C13";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C14";"10UF_10V";"10UF_10V";"C0603";"Ceramic capacitor SMD 10uF ±10%, 10VDC, X5R, TDK , Case 0603, Mouser: 810-C1608X5R1A106K";"";"";"";"";"";"0603";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"445-7486-1-ND";"";"";"";"";"2211164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";"";"";"";"";"";"";"";"";"";"810-C1608X5R1A106K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55°C ~ 85°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C1608X5R1A106K080AC";"";"10V";"";"";"";"";"";"";"";"";
"C15";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C16";"2,2UF/6V3";"2,2UF/6V3";"C0402";"Multilayer Ceramic Capacitors MLCC, SMD, 2,2uF ±10%, 6,3VDC, X5R, Kemet, Case 0402, Mouser: 80-C0402C225K9P";"";"";"";"";"";"0402";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"";"110-95-530";"";"";"";"2442787";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"80-C0402C225K9P";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C0402C225K9PACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C17";"2,2UF/6V3";"2,2UF/6V3";"C0402";"Multilayer Ceramic Capacitors MLCC, SMD, 2,2uF ±10%, 6,3VDC, X5R, Kemet, Case 0402, Mouser: 80-C0402C225K9P";"";"";"";"";"";"0402";"X5R";"";"";"";"";"";"";"";"";"";"";"";"";"";"110-95-530";"";"";"";"2442787";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"80-C0402C225K9P";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±10%";"C0402C225K9PACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C18";"15PF";"15PF";"C0402";"Multilayer Ceramic Capacitors MLCC, SMD, 15pF, ±5%, 50VDC, COG, Kemet, Case 0402, Mouser: 80-C0402C150J5G";"";"";"";"";"";"0402";"COG";"";"";"";"";"";"";"";"";"";"";"";"";"399-1014-1-ND";"";"";"";"";"1414577";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"80-C0402C150J5G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";"C0402C150J5GACTU";"50VDC";"";"";"";"";"";"";"";"";"";
"C19";"15PF";"15PF";"C0402";"Multilayer Ceramic Capacitors MLCC, SMD, 15pF, ±5%, 50VDC, COG, Kemet, Case 0402, Mouser: 80-C0402C150J5G";"";"";"";"";"";"0402";"COG";"";"";"";"";"";"";"";"";"";"";"";"";"399-1014-1-ND";"";"";"";"";"1414577";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"80-C0402C150J5G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Multilayer Ceramic Capacitors MLCC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";"C0402C150J5GACTU";"50VDC";"";"";"";"";"";"";"";"";"";
"C20";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
"C21";"100NF";"100NF";"C0402";"Ceramic capacitor SMD 100nF ±5%, 16VDC, X7R, Kemet, Case 0402, C0402C104J4RACTU, MLCC, Mouser: 80-C0402C104J4R";"";"";"";"";"";"0402";"X7R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2429353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"  80-C0402C104J4R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-55...+125 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"General Type MLCCs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"±5%";" C0402C104J4RACTU";"16VDC";"";"";"";"";"";"";"";"";"";
